symbol,date,close,high,low,open,volume
AGR,2023-10-09,30.15,30.18,29.3,29.44,1705993.0
ML,2023-10-09,20.98,21.5,20.255,20.63,50700.0
LYT,2023-10-09,0.1489,0.1568,0.1448,0.1562,555785.0
ARHS,2023-10-09,9.42,9.45,9.06,9.25,473175.0
AGR,2023-10-10,31.38,31.53,30.37,30.37,2092242.0
ML,2023-10-10,22.29,22.76,21.03,21.03,89194.0
ARHS,2023-10-10,9.59,9.79,9.335,9.43,521677.0
LYT,2023-10-10,0.1733,0.188,0.155,0.16,1528635.0
ML,2023-10-11,22.36,22.69,21.85,22.17,38036.0
AGR,2023-10-11,31.73,31.81,30.975,31.59,1576963.0
LYT,2023-10-11,0.167,0.18,0.1632,0.177,569980.0
ARHS,2023-10-11,9.61,9.72,9.44,9.63,454119.0
LYT,2023-10-12,0.182,0.19,0.1714,0.1714,508727.0
ML,2023-10-12,20.5,22.35,20.37,22.23,27388.0
AGR,2023-10-12,30.63,31.72,30.24,31.62,1566835.0
ARHS,2023-10-12,9.27,9.57,9.21,9.57,775924.0
ML,2023-10-13,20.07,20.69,19.84,20.57,17866.0
LYT,2023-10-13,0.175,0.1863,0.175,0.1754,342170.0
AGR,2023-10-13,30.98,31.21,30.74,30.9,881421.0
ARHS,2023-10-13,9.45,9.56,9.28,9.32,467013.0
ARHS,2023-10-16,9.71,9.735,9.4,9.52,390381.0
ML,2023-10-16,21.59,21.73,20.18,20.23,62697.0
AGR,2023-10-16,31.38,31.61,30.83,31.17,1029374.0
LYT,2023-10-16,0.19,0.19,0.1676,0.175,638768.0
ML,2023-10-17,22.02,22.3,21.38,21.38,27942.0
LYT,2023-10-17,0.179,0.192,0.1727,0.1843,812967.0
AGR,2023-10-17,31.42,31.8,31.05,31.05,1354796.0
ARHS,2023-10-17,9.8,9.98,9.6,9.6,556684.0
ARHS,2023-10-18,9.35,9.72,9.21,9.72,519416.0
LYT,2023-10-18,0.1801,0.1848,0.1717,0.1796,200321.0
ML,2023-10-18,21.25,21.64,21.035,21.54,15137.0
AGR,2023-10-18,30.92,31.43,30.65,31.37,810306.0
LYT,2023-10-19,0.1644,0.18,0.161,0.18,133560.0
AGR,2023-10-19,30.73,31.24,30.65,30.88,723763.0
ML,2023-10-19,18.24,20.98,17.4001,20.98,93276.0
ARHS,2023-10-19,9.16,9.48,9.15,9.38,302479.0
AGR,2023-10-20,30.59,31.145,30.44,30.76,1608194.0
ML,2023-10-20,20.15,20.8832,17.64,18.08,122481.0
LYT,2023-10-20,0.16,0.1709,0.1547,0.1709,239283.0
ARHS,2023-10-20,8.88,9.125,8.822,9.12,468965.0
AGR,2023-10-23,29.36,30.38,29.32,29.61,1519233.0
LYT,2023-10-23,0.1619,0.1656,0.1555,0.16,490776.0
ML,2023-10-23,18.23,20.06,18.23,19.95,53815.0
ARHS,2023-10-23,8.65,8.92,8.62,8.87,372622.0
LYT,2023-10-24,0.15,0.1649,0.1459,0.1612,645119.0
ML,2023-10-24,19.1,19.43,18.42,18.42,24928.0
AGR,2023-10-24,30.09,30.1,29.63,29.76,1872752.0
ARHS,2023-10-24,8.44,8.845,8.385,8.72,571835.0
AGR,2023-10-25,29.74,30.13,29.63,29.88,1762633.0
ARHS,2023-10-25,8.45,8.49,8.16,8.38,921950.0
ML,2023-10-25,18.25,19.23,18.09,18.65,24287.0
LYT,2023-10-25,0.149,0.1599,0.1323,0.15,1047905.0
AGR,2023-10-26,29.6,30.25,28.82,30.25,1593229.0
ML,2023-10-26,19.0,19.4,18.25,18.25,45890.0
ARHS,2023-10-26,8.36,8.56,8.16,8.43,545322.0
LYT,2023-10-26,0.146,0.155,0.1371,0.1491,216782.0
ARHS,2023-10-27,8.25,8.51,8.22,8.42,622373.0
AGR,2023-10-27,29.07,29.61,28.965,29.43,1150028.0
LYT,2023-10-27,0.1475,0.153,0.1389,0.153,248960.0
ML,2023-10-27,17.89,19.21,17.87,19.07,31461.0
ARHS,2023-10-30,8.34,8.6,8.265,8.38,973561.0
AGR,2023-10-30,29.16,29.57,28.75,29.32,1016335.0
LYT,2023-10-30,0.1431,0.1549,0.14,0.1548,347913.0
ML,2023-10-30,19.32,19.45,18.19,18.5,33537.0
ML,2023-10-31,19.24,19.68,19.03,19.19,30614.0
LYT,2023-10-31,0.135,0.1503,0.1315,0.15,561064.0
AGR,2023-10-31,29.87,29.89,29.14,29.26,1008581.0
ARHS,2023-10-31,8.62,8.63,8.23,8.4,667354.0
ARHS,2023-11-01,8.19,8.53,8.125,8.4,1903443.0
ML,2023-11-01,19.05,19.36,17.92,19.15,40443.0
LYT,2023-11-01,0.1359,0.1473,0.1316,0.14,219430.0
AGR,2023-11-01,30.65,30.77,29.51,29.9,1142046.0
ARHS,2023-11-02,8.0,8.65,7.56,7.67,3042161.0
LYT,2023-11-02,0.1455,0.1489,0.132,0.136,206715.0
AGR,2023-11-02,31.83,31.975,30.75,30.75,1244129.0
ML,2023-11-02,22.84,22.93,19.6,19.6,102611.0
ARHS,2023-11-03,8.61,8.66,8.0,8.14,1637666.0
ML,2023-11-03,23.97,24.79,22.7,22.7,75872.0
LYT,2023-11-03,0.143,0.155,0.1348,0.15,662119.0
AGR,2023-11-03,32.05,32.58,31.97,32.41,1076561.0
AGR,2023-11-06,31.39,32.01,31.325,31.91,1069262.0
ML,2023-11-06,22.87,23.4,21.88,23.0,53247.0
ARHS,2023-11-06,8.84,9.015,8.5701,8.7,1478615.0
LYT,2023-11-06,0.135,0.1467,0.1316,0.1467,407009.0
AGR,2023-11-07,31.05,31.53,31.03,31.44,782050.0
ARHS,2023-11-07,9.05,9.07,8.7289,8.82,724124.0
LYT,2023-11-07,0.14,0.1463,0.1311,0.136,296262.0
ML,2023-11-07,22.67,24.655,20.7394,22.5,101079.0
ARHS,2023-11-08,8.86,9.1197,8.82,9.0,713824.0
LYT,2023-11-08,0.141,0.1458,0.1339,0.1434,188658.0
ML,2023-11-08,26.19,28.03,21.88,21.88,127887.0
AGR,2023-11-08,30.56,30.94,30.18,30.94,1172948.0
ML,2023-11-09,27.96,29.37,25.16,25.16,79847.0
AGR,2023-11-09,30.21,30.83,30.19,30.63,672508.0
ARHS,2023-11-09,8.16,9.035,8.04,8.92,848739.0
LYT,2023-11-09,0.1317,0.145,0.1202,0.14,443148.0
ARHS,2023-11-10,8.45,8.495,8.15,8.19,525122.0
ML,2023-11-10,31.44,31.93,26.91,28.18,171221.0
AGR,2023-11-10,30.38,30.5,30.09,30.38,836532.0
LYT,2023-11-10,0.134,0.146,0.1273,0.135,160545.0
ML,2023-11-13,30.36,31.65,28.6416,31.65,89283.0
LYT,2023-11-13,0.1228,0.137,0.1116,0.125,480034.0
ARHS,2023-11-13,8.46,8.46,8.25,8.38,455861.0
AGR,2023-11-13,29.35,30.355,29.33,30.19,846073.0
AGR,2023-11-14,31.4,31.43,30.33,30.33,1307865.0
LYT,2023-11-14,0.1271,0.1337,0.1201,0.125,237800.0
ARHS,2023-11-14,8.9,9.4,8.62,8.62,1236120.0
ML,2023-11-14,34.72,35.36,31.0,31.51,109369.0
ML,2023-11-15,32.07,35.275,31.16,35.24,103982.0
LYT,2023-11-15,0.131,0.135,0.1276,0.1306,278384.0
AGR,2023-11-15,31.54,31.89,31.18,31.27,1182980.0
ARHS,2023-11-15,8.5,8.685,8.2233,8.53,4121693.0
LYT,2023-11-16,0.1284,0.134,0.1206,0.134,252336.0
AGR,2023-11-16,31.67,32.17,31.59,31.9,1160009.0
ML,2023-11-16,33.1,33.885,30.81,32.05,149255.0
ARHS,2023-11-16,8.5,8.665,8.36,8.54,807291.0
ARHS,2023-11-17,8.65,8.8,8.46,8.54,855353.0
ML,2023-11-17,31.64,34.305,31.42,33.15,108633.0
LYT,2023-11-17,0.14,0.1414,0.125,0.1304,343075.0
AGR,2023-11-17,30.87,31.9,30.63,31.88,2509642.0
ARHS,2023-11-20,8.67,8.74,8.49,8.63,792860.0
ML,2023-11-20,34.59,34.59,31.7564,31.95,138073.0
LYT,2023-11-20,0.16,0.176,0.1419,0.1422,751646.0
AGR,2023-11-20,31.12,31.245,29.96,30.65,2070175.0
AGR,2023-11-21,31.14,31.15,30.535,31.13,1483145.0
ML,2023-11-21,33.7,34.89,33.01,33.01,102577.0
LYT,2023-11-21,0.1493,0.1597,0.11,0.1568,331949.0
ARHS,2023-11-21,8.99,9.025,8.585,8.62,1797918.0
AGR,2023-11-22,31.57,31.63,30.84,31.35,4013813.0
ARHS,2023-11-22,8.95,9.23,8.87,9.0,1079926.0
LYT,2023-11-22,0.143,0.1559,0.1353,0.1492,188942.0
ML,2023-11-22,34.3,35.35,33.31,33.69,73610.0
ARHS,2023-11-24,9.12,9.24,8.93,8.95,441598.0
AGR,2023-11-24,31.41,31.7,31.261,31.57,411170.0
ML,2023-11-24,36.37,36.8,33.79,33.79,76042.0
LYT,2023-11-24,0.137,0.155,0.136,0.1399,232412.0
ARHS,2023-11-27,9.07,9.13,8.96,9.1,468770.0
LYT,2023-11-27,0.1358,0.138,0.1311,0.1366,89409.0
ML,2023-11-27,38.23,39.0,36.26,36.8,112434.0
AGR,2023-11-27,31.39,31.43,30.941,31.36,1207154.0
AGR,2023-11-28,31.62,31.81,31.01,31.3,1316250.0
ARHS,2023-11-28,9.14,9.29,8.96,9.08,556585.0
ML,2023-11-28,38.36,38.77,36.2594,37.49,87317.0
LYT,2023-11-28,0.1355,0.145,0.1306,0.1306,252960.0
ML,2023-11-29,37.58,41.0,36.96,39.0,159265.0
AGR,2023-11-29,31.34,32.01,31.31,31.82,999842.0
ARHS,2023-11-29,9.23,9.41,9.17,9.21,448290.0
LYT,2023-11-29,0.138,0.145,0.1345,0.1386,199995.0
ML,2023-11-30,41.22,41.67,37.27,37.27,197405.0
AGR,2023-11-30,30.87,31.08,30.62,30.97,827996.0
ARHS,2023-11-30,9.32,9.34,9.15,9.28,516085.0
LYT,2023-11-30,0.1455,0.156,0.1351,0.1351,624125.0
AGR,2023-12-01,32.01,32.01,30.75,30.75,828089.0
ML,2023-12-01,42.52,43.58,40.7367,41.32,117806.0
LYT,2023-12-01,0.141,0.1487,0.1396,0.143,404128.0
ARHS,2023-12-01,9.81,9.845,9.21,9.28,593050.0
ARHS,2023-12-04,9.52,9.99,9.47,9.8,1007264.0
