close,high,low,open,priceDate,symbol,volume,id,key,subkey,date,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent,Ticker
25.58,25.818,25.03,25.19,2023-10-09,IOT,1356147,HISTORICAL_PRICES,IOT,,2023-10-09,1696899638000,0.0,0.0,25.19,25.58,25.818,25.03,1356147,25.19,25.58,25.818,25.03,1356147,"Oct 9, 23",0.0,0.0,IOT
25.04,26.24,24.92,25.5,2023-10-10,IOT,2846765,HISTORICAL_PRICES,IOT,,2023-10-10,1696986044000,-0.021110242376856887,-0.021110242376856887,25.5,25.04,26.24,24.92,2846765,25.5,25.04,26.24,24.92,2846765,"Oct 10, 23",-0.5399999999999991,-0.0211,IOT
25.43,26.09,25.07,25.63,2023-10-11,IOT,1795656,HISTORICAL_PRICES,IOT,,2023-10-11,1697072459000,-0.005863956215793533,-0.005863956215793533,25.63,25.43,26.09,25.07,1795656,25.63,25.43,26.09,25.07,1795656,"Oct 11, 23",0.39000000000000057,0.0156,IOT
24.65,25.67,24.335,25.48,2023-10-12,IOT,1648330,HISTORICAL_PRICES,IOT,,2023-10-12,1697164245000,-0.03635652853792024,-0.03635652853792024,25.48,24.65,25.67,24.335,1648330,25.48,24.65,25.67,24.335,1648330,"Oct 12, 23",-0.7800000000000011,-0.0307,IOT
23.46,24.5187,22.74,24.2,2023-10-13,IOT,2797597,HISTORICAL_PRICES,IOT,,2023-10-13,1697247015000,-0.08287724784988262,-0.08287724784988262,24.2,23.46,24.5187,22.74,2797597,24.2,23.46,24.5187,22.74,2797597,"Oct 13, 23",-1.1899999999999977,-0.0483,IOT
24.43,24.65,23.53,23.7,2023-10-16,IOT,1683580,HISTORICAL_PRICES,IOT,,2023-10-16,1697504412000,-0.04495699765441746,-0.04495699765441746,23.7,24.43,24.65,23.53,1683580,23.7,24.43,24.65,23.53,1683580,"Oct 16, 23",0.9699999999999989,0.0413,IOT
24.9,25.12,23.92,24.11,2023-10-17,IOT,1604433,HISTORICAL_PRICES,IOT,,2023-10-17,1697590875000,-0.02658326817826426,-0.02658326817826426,24.11,24.9,25.12,23.92,1604433,24.11,24.9,25.12,23.92,1604433,"Oct 17, 23",0.46999999999999886,0.0192,IOT
23.56,24.82,23.505,24.62,2023-10-18,IOT,1529537,HISTORICAL_PRICES,IOT,,2023-10-18,1697677214000,-0.07896794370602031,-0.07896794370602031,24.62,23.56,24.82,23.505,1529537,24.62,23.56,24.82,23.505,1529537,"Oct 18, 23",-1.3399999999999999,-0.0538,IOT
23.23,23.97,23.18,23.78,2023-10-19,IOT,1670057,HISTORICAL_PRICES,IOT,,2023-10-19,1697763626000,-0.09186864738076615,-0.09186864738076615,23.78,23.23,23.97,23.18,1670057,23.78,23.23,23.97,23.18,1670057,"Oct 19, 23",-0.3299999999999983,-0.014,IOT
22.82,23.55,22.15,23.0,2023-10-20,IOT,4043004,HISTORICAL_PRICES,IOT,,2023-10-20,1697851913000,-0.10789679437060196,-0.10789679437060196,23.0,22.82,23.55,22.15,4043004,23.0,22.82,23.55,22.15,4043004,"Oct 20, 23",-0.41000000000000014,-0.0176,IOT
