symbol,marketcap,exchange,exchangeName
ACT,4296020841.0,XNAS,Nasdaq All Markets
ACTG,431508911.0,XNAS,Nasdaq All Markets
ACV,236118504.0,XNYS,New York Stock Exchange Inc
ACVA,1872295728.0,XNAS,Nasdaq All Markets
ACWI,18456529000.0,XNAS,Nasdaq All Markets
ACWX,4393140000.0,XNAS,Nasdaq All Markets
ACXP,41854650.0,XNAS,Nasdaq All Markets
ADAG,155613082.0,XNAS,Nasdaq All Markets
ADAP,180180509.0,XNAS,Nasdaq All Markets
ADBE,273812560000.0,XNAS,Nasdaq All Markets
ADC,5697457560.0,XNYS,New York Stock Exchange Inc
ADC-A,5759772336.0,XNYS,New York Stock Exchange Inc
ADCT,342730740.0,XNYS,New York Stock Exchange Inc
ADD,4651678.0,XNAS,Nasdaq All Markets
ADEA,1320904624.0,XNAS,Nasdaq All Markets
ADI,92469123647.0,XNAS,Nasdaq All Markets
ADIL,1896300.0,XNAS,Nasdaq All Markets
ADM,28429220892.0,XNYS,New York Stock Exchange Inc
ADMA,1204407670.0,XNAS,Nasdaq All Markets
ADN,10386438.0,XNAS,Nasdaq All Markets
ADNT,3061298569.0,XNYS,New York Stock Exchange Inc
ADNWW,10817903.0,XNAS,Nasdaq All Markets
ADOC,42899441.0,XNAS,Nasdaq All Markets
ADOCR,42646027.0,XNAS,Nasdaq All Markets
ADOCW,42646027.0,XNAS,Nasdaq All Markets
ADP,102623699448.0,XNAS,Nasdaq All Markets
ADPT,527696677.0,XNAS,Nasdaq All Markets
ADSE,468920707.0,XNAS,Nasdaq All Markets
ADSEW,468920707.0,XNAS,Nasdaq All Markets
ADSK,55145231632.0,XNAS,Nasdaq All Markets
ADT,5679352752.0,XNYS,New York Stock Exchange Inc
ADTH,240900382.0,XNAS,Nasdaq All Markets
ADTHW,241782801.0,XNAS,Nasdaq All Markets
ADTN,508395534.0,XNAS,Nasdaq All Markets
ADTX,1670197.0,XNAS,Nasdaq All Markets
ADUS,1508043802.0,XNAS,Nasdaq All Markets
ADV,1240295672.0,XNAS,Nasdaq All Markets
ADVM,198013261.0,XNAS,Nasdaq All Markets
ADVWW,1305574392.0,XNAS,Nasdaq All Markets
ADX,2293022891.0,XNYS,New York Stock Exchange Inc
ADXN,15372720.0,XNAS,Nasdaq All Markets
AEAE,77781483.0,XNAS,Nasdaq All Markets
AEAEU,77923038.0,XNAS,Nasdaq All Markets
AEE,17665963050.0,XNYS,New York Stock Exchange Inc
AEFC,0.0,XNYS,New York Stock Exchange Inc
AEG,10334869764.0,XNYS,New York Stock Exchange Inc
AEHL,3300000.0,XNAS,Nasdaq All Markets
AEHR,506592602.0,XNAS,Nasdaq All Markets
AEI,10897440.0,XNAS,Nasdaq All Markets
AEIS,3810083145.0,XNAS,Nasdaq All Markets
AEL,4372048498.0,XNYS,New York Stock Exchange Inc
AEL-A,4384297336.0,XNYS,New York Stock Exchange Inc
AEL-B,4358638178.0,XNYS,New York Stock Exchange Inc
AEM,22423965104.0,XNYS,New York Stock Exchange Inc
AEMD,4362589.0,XNAS,Nasdaq All Markets
AENT,99315002.0,XNAS,Nasdaq All Markets
AENTW,99315001.0,XNAS,Nasdaq All Markets
AEO,4348806775.0,XNYS,New York Stock Exchange Inc
AEP,40902606735.0,XNAS,Nasdaq All Markets
AER,15990121879.0,XNYS,New York Stock Exchange Inc
AERT,39984650.0,XNAS,Nasdaq All Markets
AERTW,39984650.0,XNAS,Nasdaq All Markets
AES,10539961011.0,XNYS,New York Stock Exchange Inc
