symbol,marketcap,exchange,exchangeName,marketcapType
ACIC,520627576.0,XNAS,Nasdaq All Markets,Small-Cap
ACIU,240680653.0,XNAS,Nasdaq All Markets,Micro-Cap
ACIW,3300132000.0,XNAS,Nasdaq All Markets,Mid-Cap
ACLS,3951308403.0,XNAS,Nasdaq All Markets,Mid-Cap
ACLX,3046781582.0,XNAS,Nasdaq All Markets,Mid-Cap
ACM,12233953680.0,XNYS,New York Stock Exchange Inc,Large-Cap
ACMR,1027784844.0,XNAS,Nasdaq All Markets,Small-Cap
ACN,243143413805.0,XNYS,New York Stock Exchange Inc,Mega-Cap
ACNB,315380736.0,XNAS,Nasdaq All Markets,Small-Cap
ACNT,98723947.0,XNAS,Nasdaq All Markets,Micro-Cap
ACON,16706719.0,XNAS,Nasdaq All Markets,Micro-Cap
ACONW,16706719.0,XNAS,Nasdaq All Markets,Micro-Cap
ACOR,18805364.0,XNAS,Nasdaq All Markets,Micro-Cap
ACP,351510030.0,XNYS,New York Stock Exchange Inc,Small-Cap
ACP-A,339791223.0,XNYS,New York Stock Exchange Inc,Small-Cap
ACR,82691181.0,XNYS,New York Stock Exchange Inc,Micro-Cap
ACR-C,82249137.0,XNYS,New York Stock Exchange Inc,Micro-Cap
ACR-D,81970112.0,XNYS,New York Stock Exchange Inc,Micro-Cap
ACRE,443411170.0,XNYS,New York Stock Exchange Inc,Small-Cap
ACRS,83891651.0,XNAS,Nasdaq All Markets,Micro-Cap
ACRV,73463156.0,XNAS,Nasdaq All Markets,Micro-Cap
ACST,24532444.0,XNAS,Nasdaq All Markets,Micro-Cap
ACT,4305603044.0,XNAS,Nasdaq All Markets,Mid-Cap
ACTG,429511185.0,XNAS,Nasdaq All Markets,Small-Cap
ACV,236533111.0,XNYS,New York Stock Exchange Inc,Micro-Cap
ACVA,1892720772.0,XNAS,Nasdaq All Markets,Small-Cap
ACWI,18449417000.0,XNAS,Nasdaq All Markets,Large-Cap
ACWX,4394892000.0,XNAS,Nasdaq All Markets,Mid-Cap
ACXP,41785810.0,XNAS,Nasdaq All Markets,Micro-Cap
ADAG,157804816.0,XNAS,Nasdaq All Markets,Micro-Cap
ADAP,184047043.0,XNAS,Nasdaq All Markets,Micro-Cap
ADBE,272745840000.0,XNAS,Nasdaq All Markets,Mega-Cap
ADC,5770836953.0,XNYS,New York Stock Exchange Inc,Mid-Cap
ADC-A,5792589787.0,XNYS,New York Stock Exchange Inc,Mid-Cap
ADCT,342730740.0,XNYS,New York Stock Exchange Inc,Small-Cap
ADD,4651678.0,XNAS,Nasdaq All Markets,Micro-Cap
ADEA,1315010121.0,XNAS,Nasdaq All Markets,Small-Cap
ADI,92082368773.0,XNAS,Nasdaq All Markets,Large-Cap
ADIL,1896300.0,XNAS,Nasdaq All Markets,Micro-Cap
ADM,28434554704.0,XNYS,New York Stock Exchange Inc,Large-Cap
ADMA,1195368964.0,XNAS,Nasdaq All Markets,Small-Cap
ADN,10386438.0,XNAS,Nasdaq All Markets,Micro-Cap
ADNT,3096884454.0,XNYS,New York Stock Exchange Inc,Mid-Cap
ADNWW,10817903.0,XNAS,Nasdaq All Markets,Micro-Cap
ADOC,42899441.0,XNAS,Nasdaq All Markets,Micro-Cap
ADOCR,42646027.0,XNAS,Nasdaq All Markets,Micro-Cap
ADOCW,42646027.0,XNAS,Nasdaq All Markets,Micro-Cap
ADP,102481976702.0,XNAS,Nasdaq All Markets,Large-Cap
ADPT,540726225.0,XNAS,Nasdaq All Markets,Small-Cap
ADSE,470438249.0,XNAS,Nasdaq All Markets,Small-Cap
ADSEW,468920707.0,XNAS,Nasdaq All Markets,Small-Cap
ADSK,55057526349.0,XNAS,Nasdaq All Markets,Large-Cap
ADT,5692358903.0,XNYS,New York Stock Exchange Inc,Mid-Cap
ADTH,242665220.0,XNAS,Nasdaq All Markets,Micro-Cap
ADTHW,241782801.0,XNAS,Nasdaq All Markets,Micro-Cap
ADTN,500919129.0,XNAS,Nasdaq All Markets,Small-Cap
ADTX,1687871.0,XNAS,Nasdaq All Markets,Micro-Cap
ADUS,1500179696.0,XNAS,Nasdaq All Markets,Small-Cap
ADV,1254983384.0,XNAS,Nasdaq All Markets,Small-Cap
ADVM,205590299.0,XNAS,Nasdaq All Markets,Micro-Cap
ADVWW,1305574392.0,XNAS,Nasdaq All Markets,Small-Cap
ADX,2297859445.0,XNYS,New York Stock Exchange Inc,Mid-Cap
ADXN,15372720.0,XNAS,Nasdaq All Markets,Micro-Cap
AEAE,77781483.0,XNAS,Nasdaq All Markets,Micro-Cap
AEAEU,77923038.0,XNAS,Nasdaq All Markets,Micro-Cap
AEE,17777714695.0,XNYS,New York Stock Exchange Inc,Large-Cap
AEFC,0.0,XNYS,New York Stock Exchange Inc,Micro-Cap
AEG,10362090668.0,XNYS,New York Stock Exchange Inc,Large-Cap
AEHL,3270000.0,XNAS,Nasdaq All Markets,Micro-Cap
AEHR,502842201.0,XNAS,Nasdaq All Markets,Small-Cap
AEI,10897440.0,XNAS,Nasdaq All Markets,Micro-Cap
AEIS,3819589713.0,XNAS,Nasdaq All Markets,Mid-Cap
AEL,4374814367.0,XNYS,New York Stock Exchange Inc,Mid-Cap
AEL-A,4358442171.0,XNYS,New York Stock Exchange Inc,Mid-Cap
AEL-B,4378994456.0,XNYS,New York Stock Exchange Inc,Mid-Cap
AEM,22414009958.0,XNYS,New York Stock Exchange Inc,Large-Cap
AEMD,4362589.0,XNAS,Nasdaq All Markets,Micro-Cap
AENT,99315002.0,XNAS,Nasdaq All Markets,Micro-Cap
AENTW,99315001.0,XNAS,Nasdaq All Markets,Micro-Cap
AEO,4370535994.0,XNYS,New York Stock Exchange Inc,Mid-Cap
AEP,41210243980.0,XNAS,Nasdaq All Markets,Large-Cap
AER,16042651845.0,XNYS,New York Stock Exchange Inc,Large-Cap
AERT,39984650.0,XNAS,Nasdaq All Markets,Micro-Cap
AERTW,39984650.0,XNAS,Nasdaq All Markets,Micro-Cap
AES,10754242302.0,XNYS,New York Stock Exchange Inc,Large-Cap
AESC,10774274090.0,XNYS,New York Stock Exchange Inc,Large-Cap
AESI,1748447208.0,XNYS,New York Stock Exchange Inc,Small-Cap
AEVA,260579574.0,XNYS,New York Stock Exchange Inc,Micro-Cap
AEYE,60708896.0,XNAS,Nasdaq All Markets,Micro-Cap
AEZS,8740584.0,XNAS,Nasdaq All Markets,Micro-Cap
AFAR,32206192.0,XNAS,Nasdaq All Markets,Micro-Cap
AFARU,32206189.0,XNAS,Nasdaq All Markets,Micro-Cap
AFB,310157859.0,XNYS,New York Stock Exchange Inc,Small-Cap
AFBI,105470982.0,XNAS,Nasdaq All Markets,Micro-Cap
AFCG,229330783.0,XNAS,Nasdaq All Markets,Micro-Cap
AFG,10175652681.0,XNYS,New York Stock Exchange Inc,Large-Cap
AFGB,10223526016.0,XNYS,New York Stock Exchange Inc,Large-Cap
AFGC,10030016047.0,XNYS,New York Stock Exchange Inc,Large-Cap
AFGD,10329310234.0,XNYS,New York Stock Exchange Inc,Large-Cap
AFGE,10126371571.0,XNYS,New York Stock Exchange Inc,Large-Cap
AFIB,5708376.0,XNAS,Nasdaq All Markets,Micro-Cap
AFJK,70242000.0,XNAS,Nasdaq All Markets,Micro-Cap
AFJKR,70242000.0,XNAS,Nasdaq All Markets,Micro-Cap
AFJKU,70241995.0,XNAS,Nasdaq All Markets,Micro-Cap
AFL,45581631342.0,XNYS,New York Stock Exchange Inc,Large-Cap
