symbol,date,close,high,low,open,volume
EDU,2023-10-11,64.43,65.92,63.2001,63.36,1683723.0
ONON,2023-10-11,24.66,25.61,24.65,25.5,4495999.0
AFYA,2023-10-11,15.59,15.71,15.26,15.26,124125.0
GRND,2023-10-11,5.88,5.94,5.78,5.89,178041.0
MTN,2023-10-11,215.87,218.11,213.158,213.61,382468.0
NMM,2023-10-11,23.0,23.12,22.8,22.88,50413.0
PRSO,2023-10-11,6.88,7.04,6.488,6.788,12575.65
ONON,2023-10-12,23.78,24.98,23.72,24.75,4937950.0
AFYA,2023-10-12,15.43,15.54,15.11,15.54,168134.0
GRND,2023-10-12,5.89,5.905,5.775,5.87,265106.0
NMM,2023-10-12,22.87,23.0696,22.83,23.0,37731.0
MTN,2023-10-12,213.34,215.68,211.84,215.68,348040.0
EDU,2023-10-12,62.65,65.38,62.24,64.86,1185528.0
PRSO,2023-10-12,7.2,7.352,6.592,6.8,12245.15
PRSO,2023-10-13,7.004,7.396,6.664,6.92,4331.3
EDU,2023-10-13,62.37,63.17,61.9,61.97,669074.0
ONON,2023-10-13,23.67,24.07,23.41,23.89,3707659.0
NMM,2023-10-13,22.84,23.08,22.6568,22.95,46217.0
AFYA,2023-10-13,15.4,16.07,15.39,15.99,334345.0
GRND,2023-10-13,5.88,5.93,5.84,5.87,250162.0
MTN,2023-10-13,215.08,215.34,211.64,211.64,323891.0
ONON,2023-10-16,24.89,25.34,23.81,23.81,4008727.0
AFYA,2023-10-16,15.83,16.16,15.36,15.44,292307.0
EDU,2023-10-16,62.82,63.365,61.23,61.42,622083.0
GRND,2023-10-16,5.8,5.94,5.79,5.89,281822.0
PRSO,2023-10-16,6.66,7.188,6.52,6.52,6882.175
NMM,2023-10-16,23.13,23.3,22.84,23.01,144135.0
MTN,2023-10-16,222.71,223.57,216.91,217.5,413399.0
NMM,2023-10-17,23.37,23.73,23.146,23.16,140490.0
ONON,2023-10-17,25.59,26.219,24.58,24.58,4268950.0
AFYA,2023-10-17,15.8,15.96,15.51,15.69,156149.0
PRSO,2023-10-17,6.508,7.14,6.492,7.0,6355.975
MTN,2023-10-17,224.93,227.515,221.93,222.63,495389.0
GRND,2023-10-17,5.9,6.0,5.8,5.8,338870.0
EDU,2023-10-17,61.99,63.0,61.66,62.14,535338.0
EDU,2023-10-18,61.92,63.16,61.17,61.2,762499.0
PRSO,2023-10-18,6.628,6.996,6.22,6.76,50947.05
AFYA,2023-10-18,15.46,15.88,15.36,15.66,245482.0
ONON,2023-10-18,25.24,25.54,24.91,25.52,2258602.0
MTN,2023-10-18,222.88,224.29,221.76,223.13,445431.0
NMM,2023-10-18,22.91,23.33,22.857,23.17,71082.0
GRND,2023-10-18,5.82,5.92,5.815,5.89,234791.0
PRSO,2023-10-19,6.56,7.08,6.4,7.06,46981.85
