,close,high,low,open,priceDate,symbol,volume,id,key,subkey,date,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent,Ticker
451,152.39,153.09,149.105,152.09,2023-12-26,ALB,1958052,HISTORICAL_PRICES,ALB,,2023-12-26,1703642475000,-0.2390392489763308,-0.2390392489763308,152.09,152.39,153.09,149.105,1958052,152.09,152.39,153.09,149.105,1958052,"Dec 26, 23",2.299999999999983,0.0153,ALB
760,392.7,396.74,391.3,396.62,2023-09-29,VOO,5766585,HISTORICAL_PRICES,VOO,,2023-09-29,1703542767000,-0.05307323189698824,-0.05307323189698824,396.62,392.7,396.74,391.3,5766585,393.366,389.478,393.485,388.089,5766585,"Sep 29, 23",-0.9399999999999977,-0.0024,VOO
595,5.7,6.18,4.42,6.06,2024-01-30,SWIN,536937,HISTORICAL_PRICES,SWIN,,2024-01-30,1706666642000,-0.06249999999999998,-0.06249999999999998,6.06,5.7,6.18,4.42,536937,6.06,5.7,6.18,4.42,536937,"Jan 30, 24",-0.75,-0.1163,SWIN
899,421.19,426.54,421.08,425.98,2023-10-20,SPY,123919874,HISTORICAL_PRICES,SPY,,2023-10-20,1703110584000,-0.06649083534652807,-0.06649083534652807,425.98,421.19,426.54,421.08,123919874,424.26,419.489,424.818,419.38,123919874,"Oct 20, 23",-5.240000000000009,-0.0123,SPY
17,24.91,25.41,23.82,23.82,2023-09-27,IOT,4405190,HISTORICAL_PRICES,IOT,,2023-09-27,1695862856000,-0.1946330423537019,-0.1946330423537019,23.82,24.91,25.41,23.82,4405190,23.82,24.91,25.41,23.82,4405190,"Sep 27, 23",1.370000000000001,0.0582,IOT
466,117.99,121.37,115.12,121.09,2024-01-18,ALB,3418701,HISTORICAL_PRICES,ALB,,2024-01-18,1705629644000,-0.4108159392789374,-0.4108159392789374,121.09,117.99,121.37,115.12,3418701,121.09,117.99,121.37,115.12,3418701,"Jan 18, 24",-2.710000000000008,-0.0225,ALB
908,430.76,430.915,426.56,426.58,2023-11-02,SPY,94938909,HISTORICAL_PRICES,SPY,,2023-11-02,1703110578000,-0.045280258870985635,-0.045280258870985635,426.58,430.76,430.915,426.56,94938909,424.857,429.021,429.175,424.838,94938909,"Nov 2, 23",8.099999999999966,0.0192,SPY
358,105.05,105.58,104.04,104.93,2024-02-09,SWKS,1525513,HISTORICAL_PRICES,SWKS,,2024-02-09,1707532259000,-0.04221371261852671,-0.04221371261852671,104.93,105.05,105.58,104.04,1525513,104.93,105.05,105.58,104.04,1525513,"Feb 9, 24",0.45999999999999375,0.0044,SWKS
600,4.54,5.01,4.015,4.015,2024-02-06,SWIN,468541,HISTORICAL_PRICES,SWIN,,2024-02-06,1707271234000,-0.2532894736842105,-0.2532894736842105,4.015,4.54,5.01,4.015,468541,4.015,4.54,5.01,4.015,468541,"Feb 6, 24",0.8199999999999998,0.2204,SWIN
103,31.4,32.378,30.81,31.6,2024-01-31,IOT,2888767,HISTORICAL_PRICES,IOT,,2024-01-31,1706894031000,0.015195602974458417,0.015195602974458417,31.6,31.4,32.378,30.81,2888767,31.6,31.4,32.378,30.81,2888767,"Jan 31, 24",-0.6900000000000048,-0.0215,IOT
