close,high,low,open,priceDate,symbol,volume,id,key,subkey,date,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent,Ticker
569.82,572.65,560.13,560.49,2023-11-06,COST,2056898,HISTORICAL_PRICES,COST,,2023-11-06,1704323772000,0.0,0.0,560.49,569.82,572.65,560.13,2056898,535.842,544.762,547.467,535.498,2056898,"Nov 6, 23",0.0,0.0,COST
571.27,573.89,569.558,572.5,2023-11-07,COST,1373229,HISTORICAL_PRICES,COST,,2023-11-07,1704323770000,0.00254466322698384,0.00254466322698384,572.5,571.27,573.89,569.5575,1373229,547.324,546.148,548.653,544.511,1373229,"Nov 7, 23",1.4499999999999318,0.0025,COST
567.38,572.99,564.295,572.12,2023-11-08,COST,1343554,HISTORICAL_PRICES,COST,,2023-11-08,1704323781000,-0.004282053981959311,-0.004282053981959311,572.12,567.38,572.99,564.295,1343554,546.96,542.429,547.792,539.48,1343554,"Nov 8, 23",-3.8899999999999864,-0.0068,COST
563.27,569.0,562.01,569.0,2023-11-09,COST,1288443,HISTORICAL_PRICES,COST,,2023-11-09,1704323778000,-0.011494858025341455,-0.011494858025341455,569.0,563.27,569.0,562.01,1288443,543.978,538.5,543.978,537.295,1288443,"Nov 9, 23",-4.110000000000014,-0.0072,COST
577.12,577.885,564.94,567.9,2023-11-10,COST,1909263,HISTORICAL_PRICES,COST,,2023-11-10,1704323779000,0.012811063142746751,0.012811063142746751,567.9,577.12,577.885,564.94,1909263,542.926,551.741,552.472,540.096,1909263,"Nov 10, 23",13.850000000000023,0.0246,COST
578.23,579.95,573.485,575.0,2023-11-13,COST,1650942,HISTORICAL_PRICES,COST,,2023-11-13,1704323769000,0.01475904671650691,0.01475904671650691,575.0,578.23,579.95,573.485,1650942,549.714,552.802,554.446,548.265,1650942,"Nov 13, 23",1.1100000000000136,0.0019,COST
590.8,591.55,581.21,581.74,2023-11-14,COST,2037639,HISTORICAL_PRICES,COST,,2023-11-14,1704323769000,0.036818644484222916,0.036818644484222916,581.74,590.8,591.55,581.21,2037639,556.157,564.819,565.536,555.651,2037639,"Nov 14, 23",12.569999999999936,0.0217,COST
596.78,599.89,593.39,593.99,2023-11-15,COST,2165104,HISTORICAL_PRICES,COST,,2023-11-15,1704323774000,0.04731318662033611,0.04731318662033611,593.99,596.78,599.89,593.39,2165104,567.869,570.536,573.509,567.295,2165104,"Nov 15, 23",5.980000000000018,0.0101,COST
578.58,586.585,572.24,586.38,2023-11-16,COST,2954653,HISTORICAL_PRICES,COST,,2023-11-16,1704323766000,0.015373275771296182,0.015373275771296182,586.38,578.58,586.585,572.24,2954653,560.593,553.136,560.789,547.075,2954653,"Nov 16, 23",-18.199999999999932,-0.0305,COST
577.15,579.92,574.06,578.9,2023-11-17,COST,1774272,HISTORICAL_PRICES,COST,,2023-11-17,1704323784000,0.012863711347442923,0.012863711347442923,578.9,577.15,579.92,574.06,1774272,553.442,551.769,554.417,548.815,1774272,"Nov 17, 23",-1.4300000000000637,-0.0025,COST
